== provenance ==
published   2026-08-16, re-run in full from probes/coil-course/src/main.rs
tree        wave 4 stage 2, after C3 (16-bit view angles) and the C4 run clock
command     cargo run --release -- ../../assets/maps/coil.map

Supersedes the pre-C3 publication. Two numbers moved and both moved because of
C3, not because of anything the run clock did: H3's bot now ends at y=1796 z=145
where it used to end at y=1792 z=143. Its 4416 ms to y=1780 and its 783 ups peak
are unchanged. The angle quantisation changes which yaw the bot's search can
actually ask for, so a greedy search over a coarser alphabet lands a few units
elsewhere; nothing about the movement model moved, and `cargo xtask determinism`
still folds to e0cd098aa4af9ba2 on all four targets.

H5 is new, and H3 is longer than it was: the bot now runs to the finish line
rather than stopping at y=1780, so its trajectory table continues past where the
superseded file ended.

== coil-course probe ==
map          ../../assets/maps/coil.map
solids       26 hulls
triggers     4
   t_start      -> target_starttimer    START                    Vec3(-224.0, 32.0, -32.0) .. Vec3(224.0, 64.0, 768.0)
   t_cp1        -> target_checkpoint    checkpoint bit 0x00000004 Vec3(-224.0, 1536.0, -32.0) .. Vec3(224.0, 1568.0, 768.0)
   t_cp2        -> target_checkpoint    checkpoint bit 0x00000008 Vec3(-224.0, 3104.0, -96.0) .. Vec3(224.0, 3136.0, 768.0)
   t_finish     -> target_stoptimer     FINISH                   Vec3(-96.0, 3424.0, 64.0) .. Vec3(96.0, 3488.0, 768.0)
clock        the world reports 0x0000000f; a timeable map needs START|FINISH
bounds       Vec3(-768.0, -864.0, -224.0) .. Vec3(768.0, 5376.0, 512.0)
profile      cpm, 125 Hz

== H1  spawn ==
spawn Vec3(-320.0, -736.0, 24.0) yaw 0  start_solid=true  all_solid=true
ground under spawn: None  (want surface z=0, normal z=1)

== H2  surface survey along x=0, every 32 units of y ==
      y   surface  normal.z      state
   -800       0.0    1.0000   Grounded
   -768       0.0    1.0000   Grounded
   -736       0.0    1.0000   Grounded
   -704       0.0    1.0000   Grounded
   -672       0.0    1.0000   Grounded
   -640       0.0    1.0000   Grounded
   -608       0.0    1.0000   Grounded
   -576       0.0    1.0000   Grounded
   -544       0.0    1.0000   Grounded
   -512       0.0    1.0000   Grounded
   -480       0.0    1.0000   Grounded
   -448       0.0    1.0000   Grounded
   -416       0.0    1.0000   Grounded
   -384       0.0    1.0000   Grounded
   -352       0.0    1.0000   Grounded
   -320       0.0    1.0000   Grounded
   -288       0.0    1.0000   Grounded
   -256       0.0    1.0000   Grounded
   -224       0.0    1.0000   Grounded
   -192       0.0    1.0000   Grounded
   -160       0.0    1.0000   Grounded
   -128       0.0    1.0000   Grounded
    -96       0.0    1.0000   Grounded
    -64       0.0    1.0000   Grounded
    -32       0.0    1.0000   Grounded
      0       0.0    1.0000   Grounded
     32       0.0    1.0000   Grounded
     64       0.0    1.0000   Grounded
     96       0.0    1.0000   Grounded
    128       0.0    1.0000   Grounded
    160       0.0    1.0000   Grounded
    192       0.0    1.0000   Grounded
    224       0.0    1.0000   Grounded
    256       0.0    1.0000   Grounded
    288       0.0    1.0000   Grounded
    320       0.0    1.0000   Grounded
    352       0.0    1.0000   Grounded
    384       0.0    1.0000   Grounded
    416       0.0    1.0000   Grounded
    448       0.0    1.0000   Grounded
    480       0.0    1.0000   Grounded
    512       0.0    1.0000   Grounded
    544       0.0    1.0000   Grounded
    576       0.0    1.0000   Grounded
    608       0.0    1.0000   Grounded
    640       0.0    1.0000   Grounded
    672       0.0    1.0000   Grounded
    704       0.0    1.0000   Grounded
    736       0.0    1.0000   Grounded
    768       0.0    1.0000   Grounded
    800       0.0    1.0000   Grounded
    832       0.0    1.0000   Grounded
    864       0.0    1.0000   Grounded
    896       0.0    1.0000   Grounded
    928       0.0    1.0000   Grounded
    960       0.0    1.0000   Grounded
    992       0.0    1.0000   Grounded
   1024       0.0    1.0000   Grounded
   1056       0.0    1.0000   Grounded
   1088       0.0    1.0000   Grounded
