# straf3 pacing log v2
# present_mode=fifo  build=release
# present_mode_requested=fifo
# warmup_ns=24913100  frames=10124
# cmdline="straf3.exe --exit-after 62000 --pacing-log probes/pacing/results/static/straf3-fifo-3.csv --no-pb"
# host_wddm_driver=32.0.15.6094
# host_workload=static-coil-noghost
# frame_latency=2
# available=[fifo,fifo_relaxed,mailbox,immediate]
# adapter="NVIDIA GeForce RTX 3060 Ti"
# adapter_type=DiscreteGpu
# backend=Vulkan
# gpu_driver=NVIDIA
# gpu_driver_info=560.94
# refresh_mhz=165000
# window_px=1280x720
# monitor_px=1920x1080
# map=Map
# profile=cpm
# command_hz=125
# driven_by=live-input
# warmup_ns is the first-to-second rendered frame: swapchain warm-up, not a frame time, and NOT a data row below
frame,delta_ns
1,1875200
2,232600
3,2389300
4,352200
5,2191300
6,4423000
7,5839300
8,6502000
9,5518400
10,6097600
11,6168700
12,6112700
13,6045300
14,6044700
15,24304400
16,6073000
17,5706800
18,6016800
19,6112100
20,6083400
21,22628000
22,566400
23,325500
24,5656600
25,6153100
26,5943000
27,6224200
28,5928300
29,6086300
30,6043000
31,6099100
32,6019800
33,6126100
34,6018300
35,6392900
36,6034400
37,6034600
38,6123300
39,5912400
40,6213400
41,5865400
42,6001400
43,6013300
44,6414900
45,5788700
46,6169500
47,6192200
48,6217600
49,5869100
50,6035200
51,5844400
52,6108000
53,6042200
54,6195000
55,5860500
56,6298300
57,6067700
58,5899200
59,6143100
60,6195500
61,5861600
62,6044500
63,6076200
64,6034700
65,6073200
66,6184100
67,5889500
68,6296000
69,5914600
70,6096700
71,6075300
72,6010000
73,6065500
74,6202000
75,6141400
76,5831000
77,6239100
78,5966800
79,6052800
80,6375000
81,6326700
82,5713900
83,6008100
84,5988600
85,6103400
86,6025600
87,5982200
88,6158300
89,5967700
90,6059400
91,6114200
92,5958700
93,6179200
94,6087600
95,6052400
96,6033900
97,6061600
98,6064500
99,6028900
100,6074900
101,6183800
102,6000100
103,6049100
104,6082700
105,5971600
106,6126400
107,6020200
108,6037700
109,6071200
110,6080000
111,6074300
112,6056200
113,5999900
114,6235500
115,5964500
116,6078900
117,6068900
118,6088000
119,6023100
120,6146000
121,5954700
122,6217200
123,6143000
124,5921700
125,6099200
126,6198900
127,5993700
128,5904800
129,6093000
130,6233500
131,5907500
132,6157900
133,6043600
134,5966900
135,6100200
136,6045200
137,6130100
138,5996400
139,6081600
140,6188400
141,5945000
142,6087300
143,6232500
144,5912700
145,6216900
146,5909000
147,6136900
148,6003000
149,6137800
150,6063400
151,6094000
152,6035800
153,5982500
154,6103500
155,6275800
156,5931500
157,5951100
158,5996100
159,6162600
160,6446500
161,5997300
162,5759200
163,5988200
164,6117300
165,6059300
166,6035700
167,6033100
168,6145100
169,5961400
170,6149400
171,6055700
172,6073300
