# straf3 pacing log v2
# present_mode=immediate  build=release
# present_mode_requested=immediate
# warmup_ns=28529800  frames=201051
# cmdline="straf3.exe --exit-after 62000 --pacing-log probes/pacing/results/static/straf3-immediate-1.csv --no-pb"
# host_wddm_driver=32.0.15.6094
# host_workload=static-coil-noghost
# frame_latency=2
# available=[fifo,fifo_relaxed,mailbox,immediate]
# adapter="NVIDIA GeForce RTX 3060 Ti"
# adapter_type=DiscreteGpu
# backend=Vulkan
# gpu_driver=NVIDIA
# gpu_driver_info=560.94
# refresh_mhz=165000
# window_px=1280x720
# monitor_px=1920x1080
# map=Map
# profile=cpm
# command_hz=125
# driven_by=live-input
# warmup_ns is the first-to-second rendered frame: swapchain warm-up, not a frame time, and NOT a data row below
frame,delta_ns
1,1936200
2,319100
3,286900
4,279100
5,287400
6,318400
7,485200
8,308100
9,254500
10,280200
11,269000
12,285100
13,1832100
14,300300
15,360700
16,265000
17,259800
18,251900
19,254600
20,259600
21,251100
22,262300
23,258400
24,248600
25,248100
26,250700
27,246700
28,404700
29,890000
30,314200
31,322600
32,429500
33,339200
34,328700
35,282400
36,277500
37,258100
38,251300
39,267500
40,242100
41,255300
42,256900
43,252500
44,273700
45,262600
46,266300
47,484200
48,378600
49,439000
50,341400
51,263700
52,258000
53,419800
54,292800
55,285000
56,267800
57,260200
58,250900
59,250500
60,250000
61,304200
62,252800
63,249700
64,249000
65,253400
66,276800
67,361000
68,428700
69,381700
70,387300
71,275000
72,297300
73,251700
74,360500
75,291400
76,269000
77,259300
78,276900
79,250500
80,282800
81,386300
82,281500
83,255600
84,254400
85,272100
86,269300
87,359900
88,415400
89,417400
90,632000
91,346900
92,250400
93,258100
94,249200
95,274400
96,254200
97,248800
98,249100
99,255600
100,298300
101,251800
102,250600
103,252300
104,252400
105,267400
106,251000
107,346800
108,408700
109,361100
110,690000
111,813700
112,285900
113,271900
114,269500
115,255200
116,451700
117,403500
118,374300
119,256400
120,256300
121,258200
122,255700
123,293700
124,351400
125,467300
126,272700
127,431900
128,323200
129,513400
130,329600
131,303600
132,315400
133,310900
134,310400
135,327400
136,322600
137,357600
138,335300
139,300500
140,295500
141,353800
142,374200
143,334100
144,327900
145,291700
146,250300
147,252200
148,267500
149,260800
150,260000
151,254300
152,253400
153,259100
154,253500
155,413600
156,269400
157,259300
158,258500
159,271200
160,253300
161,250600
162,328100
163,362300
164,454300
165,425400
166,353900
167,323500
168,336900
169,331800
170,258300
171,367400
172,272300
173,255100
174,250100
175,258600
176,265300
177,261100
178,263700
179,252500
180,250900
181,626700
182,643600
183,400600
184,368800
185,493100
186,391500
187,391400
188,336600
189,457900
190,318800
191,291200
192,277400
193,271200
194,297900
195,290500
196,252700
197,442200
198,360100
199,351900
200,415900
201,345900
202,330000
203,539700
204,336700
205,295600
206,288000
207,254300
208,250500
209,344500
210,383700
211,264300
212,259000
213,288000
214,249400
215,314100
216,460700
217,304700
218,319400
219,403200
220,309100
221,285700
222,252500
223,258000
224,252300
225,254400
226,257300
227,254900
228,252200
229,417400
230,253200
231,249900
232,262200
233,274800
234,263500
235,289600
236,319900
237,466100
238,519000
239,367700
240,362600
241,357400
242,274600
243,267200
244,270400
245,302500
246,279500
247,278700
248,310000
249,325600
250,264300
251,287800
252,264800
253,253400
254,375300
255,408400
256,365900
257,493000
258,309300
259,257000
260,334500
261,270800
262,256300
263,252100
264,271400
265,257500
266,617700
267,305800
268,260300
269,249900
270,250900
271,252500
272,247600
273,246200
274,298600
275,322400
276,249300
277,735400
278,256500
279,364000
280,252000
281,261500
282,249400
283,252600
284,251800
285,251600
286,248000
287,257300
288,246900
289,249100
290,251600
291,250300
292,252600
293,246800
294,249100
295,272400
296,323600
297,261800
298,454700
299,425900
300,259300
301,262400
302,255700
303,279400
304,253400
305,256000
306,251200
307,253200
308,398100
309,263500
310,257700
311,251100
312,267600
313,251000
314,250800
315,248000
316,331900
317,342400
318,250500
319,497300
320,346800
321,546200
322,260700
323,254800
324,250800
325,253700
326,252400
327,259800
328,253700
329,286700
330,251200
331,251800
332,268100
333,251300
334,247900
335,254800
336,338000
337,308500
338,350500
339,503600
340,439000
341,280000
342,277400
343,252900
344,320500
345,288600
346,381900
347,580100
348,251900
349,254800
350,253900
351,254400
352,248600
353,274400
354,277000
355,260600
356,307800
357,354300
358,507800
359,523800
360,351300
361,254000
362,252100
363,316900
364,260100
365,276100
366,254300
367,292700
368,272300
369,257400
370,257900
371,260100
372,253900
373,252000
374,258300
375,254000
376,355900
377,650300
378,698200
379,330200
380,324500
381,407800
382,288300
383,260600
384,253800
385,364600
386,257900
387,252400
388,255900
389,254000
390,254800
391,252600
392,250900
393,253800
394,292500
395,429600
396,441300
397,321900
398,320200
399,256600
400,259600
401,250900
402,254100
403,262900
404,247800
405,250100
406,260300
407,247300
408,246700
409,249300
410,252300
411,248400
412,251700
413,249100
414,322200
415,286500
416,297200
417,342700
418,491300
419,507700
420,292700
421,278800
422,305900
423,242400
424,833300
425,362400
426,318000
427,323700
428,287200
429,261900
430,254200
431,305200
432,269100
