# straf3 pacing log v2
# present_mode=fifo  build=release
# present_mode_requested=fifo
# warmup_ns=28368400  frames=10108
# cmdline="straf3.exe --exit-after 62000 --pacing-log probes/pacing/results/frame-latency-1/straf3-fifo-2.csv --no-pb"
# host_wddm_driver=32.0.15.6094
# host_workload=static-coil-noghost
# host_window_state=not-checked
# frame_latency=1
# available=[fifo,fifo_relaxed,mailbox,immediate]
# adapter="NVIDIA GeForce RTX 3060 Ti"
# adapter_type=DiscreteGpu
# backend=Vulkan
# gpu_driver=NVIDIA
# gpu_driver_info=560.94
# refresh_mhz=165000
# window_px=1280x720
# monitor_px=1920x1080
# map=Map
# profile=cpm
# command_hz=125
# driven_by=live-input
# warmup_ns is the first-to-second rendered frame: swapchain warm-up, not a frame time, and NOT a data row below
frame,delta_ns
1,3692300
2,1887600
3,1020300
4,9642600
5,3800000
6,5773700
7,5759500
8,6284700
9,6013500
10,5969400
11,5916200
12,6154800
13,25475700
14,11099300
15,12001500
16,12510800
17,5764400
18,5783000
19,17956600
20,452400
21,4918000
22,5975700
23,5981900
24,6770000
25,5528400
26,6543200
27,5590200
28,5991100
29,6289800
30,5837400
31,6176300
32,5867700
33,6172400
34,6104300
35,6138100
36,6002400
37,6130200
38,5910400
39,6056300
40,6122100
41,5922000
42,6425000
43,5826300
44,5989600
45,6047500
46,6150100
47,6108300
48,5966600
49,5997200
50,6106600
51,6093000
52,6059900
53,6181100
54,6017200
55,5982000
56,6104000
57,5939000
58,6238500
59,5913500
60,6265600
61,5966700
62,5988400
63,6106700
64,6151300
65,6115800
66,6189300
67,6008800
68,6057800
69,6576500
70,5577600
71,5863900
72,6074100
73,6126800
74,6022100
75,6319100
76,5768500
77,6055600
78,6017500
79,6118100
80,6090300
81,5985400
82,6221300
83,6009800
84,5977200
85,6172600
86,6137300
87,5941600
88,6085500
89,5974200
90,6098600
91,6115800
92,5973900
93,6092800
94,6228400
95,5974600
96,6115500
97,5930300
98,6118600
99,6118300
100,6037900
101,6026100
102,6162700
103,5926400
104,6132000
105,6079900
106,5979000
107,6378500
108,6584200
109,5569100
110,5879000
111,6151000
112,6070900
113,6153900
114,6016800
115,6003000
116,6046100
117,5987000
118,6097500
119,5999700
120,6024900
121,6132100
122,6190500
123,5852500
124,6114700
125,6668200
126,5503300
127,6035900
128,6079400
129,6073900
130,6092200
131,6076900
132,6024700
133,6115500
134,6022700
135,5995300
136,6059700
137,6158400
138,6008500
139,5989300
140,6223900
141,5976400
142,6019100
143,6077600
144,6048400
145,6127100
146,6052700
147,6018700
148,6142100
149,6074000
150,5970200
151,6139900
152,6044300
153,6075800
154,6438700
155,6062500
156,5677200
157,6179700
158,5911000
159,6240800
160,5930500
161,6016900
162,6189900
