# straf3 pacing log v2
# present_mode=fifo  build=release
# present_mode_requested=fifo
# warmup_ns=24951400  frames=1141
# cmdline="straf3.exe --exit-after 7500 --pacing-log probes/pacing/results/play/straf3-fifo-2.csv --pb-dir target/pacing-pb --play probes/coil-course/results/coil-run.txt"
# host_wddm_driver=32.0.15.6094
# host_workload=play-coil-run-ghost
# host_window_state=not-checked
# frame_latency=2
# available=[fifo,fifo_relaxed,mailbox,immediate]
# adapter="NVIDIA GeForce RTX 3060 Ti"
# adapter_type=DiscreteGpu
# backend=Vulkan
# gpu_driver=NVIDIA
# gpu_driver_info=560.94
# refresh_mhz=165000
# window_px=1280x720
# monitor_px=1920x1080
# map=Map
# profile=cpm
# command_hz=125
# driven_by=playback
# warmup_ns is the first-to-second rendered frame: swapchain warm-up, not a frame time, and NOT a data row below
frame,delta_ns
1,1726200
2,268700
3,1529900
4,243100
5,793100
6,7961200
7,6086900
8,5988900
9,5725000
10,5993300
11,6335200
12,6040000
13,5830500
14,6216100
15,11911200
16,6499100
17,6157700
18,5654300
19,6306700
20,5675700
21,29224200
22,663000
23,4165600
24,553200
25,753500
26,1045300
27,3334800
28,6264200
29,6641700
30,5842600
31,5578000
32,6361100
33,6002400
34,6085500
35,5944900
36,6115800
37,6006800
38,6413800
39,5687600
40,6172100
41,6183700
42,5994700
43,5963100
44,6532400
45,5542800
46,6033300
47,5989200
48,6019000
49,6058200
50,6101800
51,6162000
52,6028800
53,5973800
54,6018700
55,6364000
56,6031200
57,6042400
58,6006100
59,6492000
60,5686400
61,5988900
62,5947000
63,6123400
64,6098300
65,6335400
66,5722200
67,6057000
68,6204300
69,5959300
70,6030900
71,6206500
72,5938100
73,6075400
74,6024100
75,6320800
76,5987000
77,5871700
78,6087200
79,6081000
80,6085000
81,6537200
82,5772200
83,6099500
84,6081800
85,6181300
86,6316200
87,5644000
88,6034500
89,5988200
90,6063700
91,6143500
92,6016400
93,6216300
94,5920400
95,6055700
96,6094500
97,5994400
98,6179000
99,6041600
100,6156800
101,5990500
102,6046400
103,6282400
104,5850400
105,6042000
106,6046800
107,6032000
108,6133800
109,6074100
110,6043400
111,6011400
112,6278100
113,5947000
114,6162200
115,6036900
116,5927300
117,6111600
118,6075700
119,6017700
120,6019100
121,6200300
122,6064300
123,6012300
124,5913200
125,6215700
126,6032200
127,6104400
128,6162900
129,6043200
130,6083700
131,5960100
132,6050600
133,6117400
134,6043100
135,6031600
136,6027200
137,6063100
138,6002000
139,6048500
140,6059500
141,6171800
142,6163400
143,5964900
144,6012900
145,6174200
146,6039300
147,6034000
148,6030800
149,6018700
150,6217900
151,5969700
152,6091000
153,5946300
154,6181200
155,6137900
156,6124900
157,6075700
158,6421800
159,5628600
160,6046100
161,5937500
162,6121200
163,6161000
164,6188600
165,5851600
166,6046900
167,6060700
168,6069100
169,6027600
170,6139400
171,6031200
172,6028700
173,6056200
174,6134900
175,6045600
176,6203500
177,5964200
178,5976500
179,6134700
180,6140200
181,5975600
182,5968900
183,6133300
184,6049300
185,6041800
186,6004900
187,6084100
188,6146000
189,6005200
190,6076300
191,6096800
192,6057500
193,6206400
194,5825400
195,6182300
196,6061300
197,6004200
198,6088400
199,6095500
200,6033200
201,6031500
202,6005400
203,6169400
204,6038600
205,6147600
206,5980800
207,6154400
208,6007300
209,6108700
210,6021500
211,6060500
212,6162700
213,6018300
214,6023900
215,6031300
216,6042700
217,6133300
218,6184100
219,6001400
220,6283400
221,5888500
222,5941300
223,6070400
224,6076100
225,6192200
226,5969800
227,6036000
228,6170300
229,5992400
230,6083700
231,5987800
232,6082700
233,6173500
234,5983300
235,6024600
236,6110600
237,6044600
238,6055000
239,6016400
240,6121400
241,6082400
242,6059300
243,6009200
244,6132200
245,6076900
246,6002200
247,6106600
248,6031600
249,6070800
250,6075200
251,6051900
252,6054200
253,6075800
254,6091000
255,6083900
256,6000400
257,6032400
258,6159200
259,6030200
260,6070200
261,6067500
262,6101300
263,6050200
264,6035800
265,6106900
266,6085800
267,6056700
268,6002800
269,6044900
270,6108800
271,6108700
272,6030700
273,6009200
274,6099100
275,6076500
276,6041900
277,6007500
278,6149200
279,6068400
280,6065300
281,6018900
282,6078300
283,6134000
284,6014000
285,6043400
286,6119200
287,6049000
288,6052800
289,6023300
290,6156900
291,6006200
292,6158600
293,6002500
294,6164200
295,6017000
296,6070200
297,5973100
298,6691400
299,5615200
300,6154700
301,6028100
302,6068400
303,6262600
304,5792600
305,5973700
306,6037600
307,6193800
308,6098600
309,6017700
310,5885000
311,6343700
312,5906400
313,6079400
314,5982500
315,6115800
316,6039800
317,6067200
318,6029900
319,6106300
320,6129500
321,5947400
322,6141100
323,6099900
324,6022600
325,5993000
326,6083300
327,6242200
328,5928200
329,6074500
330,6136700
331,5930300
332,6147500
333,6051600
334,6101300
335,5986700
336,6157400
337,6012000
338,6049500
339,6028500
340,6090600
341,6026700
342,6098200
343,6429900
344,5732000
345,6045300
346,6103800
347,5937400
348,6261800
349,5970800
350,6180000
351,5892000
352,6160100
353,6011000
354,6118100
355,5976900
356,6062300
357,6139500
358,6013300
359,6295900
360,6081900
361,5940200
362,6071600
363,5968600
364,6154600
365,6085200
366,5966600
367,6103000
368,6015300
369,6079100
370,6109500
371,5982800
372,6011600
373,6113500
374,6086500
375,6102500
376,6118900
377,6036800
378,6041600
379,6039800
380,6005600
381,6876300
382,5279100
383,6554800
384,5565700
385,6082300
386,6105400
387,6052200
388,6036200
389,6054200
390,6450800
391,6014200
392,6062700
393,6053800
394,6108000
395,6157400
396,6137800
397,5891800
398,6043500
399,6098700
400,6036100
401,6020400
402,6064700
403,6117300
404,6051500
405,6006500
406,6105700
407,6072000
408,6024900
409,6044700
410,6163900
411,6054600
412,6027500
413,6038300
414,6135200
415,6058600
416,6003700
417,6097300
418,6086200
419,6073700
420,6032400
421,6074100
422,6027000
423,6100300
424,6082300
425,6025500
426,6044500
427,6265000
428,5974500
429,5989000
430,6029100
431,6091900
432,6155800
433,6007500
434,6088300
435,6137800
436,5958000
437,6132300
438,5955900
439,6089400
440,6078700
441,6180600
442,5980300
443,6046100
444,6074700
445,6100400
446,5960100
447,6553600
448,5687400
449,6056000
450,6006000
451,6023500
452,6152900
453,6044300
454,6040500
455,6106700
456,6050300
457,6073400
458,6061000
459,6047800
460,6102600
461,6060300
462,6096100
463,5993400
464,6605900
465,5569900
466,6037400
467,5964100
468,6110900
469,6103900
470,6072000
471,6034700
472,6130700
473,6016600
474,6081100
475,6069000
476,6069000
477,6208100
478,6003600
479,6011900
480,6009400
481,6148800
482,6196200
483,5920100
484,6000500
485,6188000
486,6003500
487,6066300
488,6084800
489,6066100
490,6037300
491,6078200
492,6127600
493,6038200
494,6014100
495,6080400
496,5987700
497,6140700
498,6016300
499,6085900
500,6050800
501,6095900
502,6040700
503,6068500
504,6043300
505,6089100
506,6049300
507,6097600
508,6037400
509,6051300
510,7157500
511,5016600
512,6029300
513,6040100
514,6179400
515,5982300
516,6086200
517,6008800
518,6101700
519,6117800
520,6040100
521,6092200
522,6094000
523,6041300
524,6054100
525,6045400
526,6134000
527,6024100
528,6081500
529,6079700
530,6033100
531,6041900
532,6099600
533,5976700
534,6179900
535,6017400
536,6070900
537,5997500
538,6117400
539,6036400
540,6086900
541,6093200
542,6039300
543,6122900
544,6026100
545,6052500
546,6059700
547,6129500
548,6120100
549,6069800
550,5934000
551,6175800
552,6038200
553,6036000
554,6207700
555,5950900
556,6054700
557,6107400
558,5969100
559,6126400
560,6011000
561,6093800
562,6043200
563,6110600
564,6182200
565,5987400
566,5980200
567,6165200
568,6032600
569,6183900
570,5931900
571,5963800
572,6207500
573,6057100
574,6075900
575,5965400
576,6147700
577,6044800
578,6035900
579,6054000
580,6096500
581,5987000
582,6035700
583,6086200
584,6157000
585,6017900
586,6141300
587,6022600
588,6078000
589,7285000
590,4813700
591,6065500
592,6077200
593,6107100
594,6021000
595,6043300
596,6156000
597,5970500
598,6147900
599,6019400
600,6066300
601,6100000
602,6733200
603,5427200
604,5968000
605,6238900
606,5940500
607,6068900
608,6018500
609,5979500
610,6211200
611,6251000
612,5804300
613,6144000
614,6036700
615,6068800
616,6226700
617,5868500
618,6114900
619,6118100
620,5980300
621,6074300
622,6592300
623,5548300
624,6041900
625,6097500
626,6184700
627,6176600
628,5816400
629,6097300
630,6082000
631,5990200
632,6153500
633,5926000
634,6111800
635,6045500
636,6122000
637,6020600
638,6118500
639,6128700
640,6089200
641,5855200
642,6196100
643,6199700
644,5935600
645,5953200
646,6241700
647,5979700
648,6056700
649,6040600
650,6203500
651,5972500
652,6103500
653,6192600
654,5965900
655,6498900
656,5569500
657,6037000
658,6219300
659,6007400
660,6195300
661,5952200
662,6135500
663,6375100
664,5711500
665,5985800
666,6029300
667,6085900
668,6071800
669,6103700
670,5949900
671,6239500
672,5961100
673,6023700
674,6055500
675,6130000
676,6045900
677,6041700
678,6057300
679,6286400
680,5861700
681,6169300
682,5937300
683,6125600
684,6042600
685,6072700
686,6125500
687,6317700
688,6825300
689,5195100
690,6174900
691,5905100
692,6197600
693,6118200
694,5899000
695,6089900
696,6109200
697,6066300
698,6048800
699,5937500
700,6150500
701,6066200
702,6065500
703,6057000
704,6419600
705,5936200
706,5982900
707,5905300
708,6116100
709,6172300
710,5952200
711,6090900
712,6160400
713,5998600
714,6083800
715,6012900
716,6126600
717,6327300
718,5837700
719,6067300
720,5894600
721,6196900
722,5987500
723,6028900
724,6201100
725,5965000
726,6042600
727,6021100
728,6082700
729,6209000
730,5938600
731,6102000
732,6003000
733,6172200
734,7962600
735,4079600
736,6048400
737,6122100
738,6054300
739,6194400
740,6007000
741,6050100
742,6025900
743,6014700
744,7760900
745,4475900
746,5983000
747,6061300
748,6068700
749,6106500
750,6168100
751,5976500
752,6047600
753,6003100
754,6159900
755,6083600
756,6012800
757,6182900
758,5942000
759,6049100
760,6155700
761,5994500
762,6090000
763,5922600
764,6195900
765,6130800
766,6038900
767,6038900
768,6101200
769,6046500
770,6028600
771,6124400
772,6425800
773,5653600
774,5943400
775,6195600
776,5958400
777,6142800
778,6071100
779,6070500
780,6036000
781,6021500
782,6060100
783,6458300
784,5755000
785,6061700
786,6003800
787,6191200
788,7392800
789,4847200
790,6084200
791,5922900
792,6116100
793,6300300
794,6097300
795,5948400
796,5953200
797,6112300
798,6123400
799,5870500
800,6723500
801,5740600
802,5926000
803,5938100
804,6039900
805,6150900
806,6323800
807,5821100
808,6093600
809,5866900
810,6088900
811,6260400
812,5936200
813,5969000
814,6061800
815,5966900
816,6195200
817,6029200
818,6008500
819,6087600
820,6102700
821,6094100
822,6006100
823,6185100
824,5973200
825,6027400
826,6155900
827,6090900
828,6011600
829,6091300
830,6021300
831,6151700
832,6099700
833,6740800
834,5694900
835,5808300
836,6055900
837,6032900
838,6002700
839,6083100
840,6038200
841,6086500
842,6321900
843,5924800
844,6014200
845,6118600
846,6033600
847,6161400
848,5794600
849,6183700
850,6069400
851,6438000
852,5599200
853,6095400
854,6020800
855,6313300
856,5990800
857,5988000
858,6258500
859,5827100
860,6040800
861,6106300
862,6030800
863,6036700
864,6001300
865,6149800
866,7097600
867,5146300
868,5834300
869,6195000
870,6052700
871,6176900
872,5882600
873,6130000
874,6039600
875,6033000
876,6058000
877,6033800
878,6082900
879,6213000
880,6035800
881,6054000
882,6107900
883,5999600
884,6024000
885,5999800
886,6134700
887,6090200
888,6127800
889,6042200
890,6098100
891,6046900
892,6026500
893,6105300
894,6133600
895,5987300
896,6085600
897,6018700
898,6021900
899,6407500
900,5902000
901,5931700
902,5984000
903,6167200
904,6041000
905,6111100
906,5986500
907,6173100
908,6246200
909,6265200
910,5590600
911,6121800
912,6051300
913,6017900
914,6101800
915,6124200
916,5883600
917,6153800
918,5962700
919,6172600
920,6031900
921,6093700
922,6255600
923,5886500
924,5976100
925,6060600
926,6452300
927,5886200
928,5905100
929,6101200
930,5973300
931,6142100
932,6340900
933,5852800
934,6071000
935,5947300
936,6156500
937,6085600
938,6014700
939,6016800
940,6407300
941,5825400
942,6059500
943,5990700
944,6146300
945,7144500
946,4949400
947,5974500
948,6110100
949,6068900
950,6066000
951,6135700
952,6086200
953,5996300
954,6059400
955,6052000
956,6183800
957,6100600
958,5893500
959,6121100
960,6053600
961,6125000
962,6018500
963,5958300
964,6083100
965,6097800
966,6123900
967,6005800
968,6052200
969,6074100
970,6171800
971,6173900
972,5958500
973,6005800
974,6099800
975,6132900
976,6022600
977,6187900
978,6200700
979,5822400
980,5988500
981,6223100
982,5993000
983,6155700
984,5942800
985,6100900
986,6123800
987,6066500
988,6150600
989,5988700
990,5989700
991,6142100
992,6328800
993,5701200
994,6150000
995,6070200
996,5985300
997,6009400
998,6128200
999,6012500
1000,6092500
1001,6008400
1002,6357000
1003,5867700
1004,5959100
1005,6067900
1006,6057100
1007,6117600
1008,6054300
1009,6091200
1010,6145400
1011,6473700
1012,5601100
1013,6060500
1014,6295900
1015,6125200
1016,5983600
1017,7026900
1018,5790000
1019,5731700
1020,5572200
1021,6043400
1022,6204600
1023,6033900
1024,5951200
1025,6101600
1026,6001800
1027,6015500
1028,6035000
1029,6107600
1030,6000100
1031,6138600
1032,6024100
1033,6106400
1034,7112100
1035,4923000
1036,6120400
1037,6030700
1038,6072400
1039,6198000
1040,5988000
1041,6042300
1042,6089100
1043,6058100
1044,5928000
1045,6197700
1046,6008100
1047,6146600
1048,6101000
1049,6158900
1050,5881500
1051,6083000
1052,6030300
1053,6392700
1054,5928300
1055,6012700
1056,6010100
1057,6165400
1058,5961500
1059,5992500
1060,6118600
1061,6073800
1062,6011800
1063,5977900
1064,6204900
1065,6017800
1066,6052300
1067,7898200
1068,4279700
1069,6018600
1070,6068000
1071,6119900
1072,6148400
1073,5903000
1074,6077800
1075,6097500
1076,5995500
1077,6445600
1078,5632600
1079,6196500
1080,6146700
1081,8154900
1082,3960200
1083,6030900
1084,6097500
1085,5989000
1086,6112400
1087,6305400
1088,5909900
1089,6127200
1090,5957000
1091,6193200
1092,5892400
1093,6128000
1094,6071300
1095,6030000
1096,5973100
1097,6143600
1098,6104900
1099,6011800
1100,6247100
1101,5908400
1102,6117900
1103,6433800
1104,5476600
