# straf3 pacing log v2
# present_mode=immediate  build=release
# present_mode_requested=immediate
# warmup_ns=30425200  frames=21095
# cmdline="straf3.exe --exit-after 7500 --pacing-log probes/pacing/results/play/straf3-immediate-3.csv --pb-dir target/pacing-pb --play probes/coil-course/results/coil-run.txt"
# host_wddm_driver=32.0.15.6094
# host_workload=play-coil-run-ghost
# host_window_state=not-checked
# frame_latency=2
# available=[fifo,fifo_relaxed,mailbox,immediate]
# adapter="NVIDIA GeForce RTX 3060 Ti"
# adapter_type=DiscreteGpu
# backend=Vulkan
# gpu_driver=NVIDIA
# gpu_driver_info=560.94
# refresh_mhz=165000
# window_px=1280x720
# monitor_px=1920x1080
# map=Map
# profile=cpm
# command_hz=125
# driven_by=playback
# warmup_ns is the first-to-second rendered frame: swapchain warm-up, not a frame time, and NOT a data row below
frame,delta_ns
1,2585700
2,835400
3,414200
4,441600
5,484200
6,445300
7,386300
8,416000
9,594600
10,408600
11,434000
12,316700
13,303100
14,330900
15,323600
16,304500
17,850000
18,339900
19,388500
20,482700
21,510300
22,444600
23,514000
24,364600
25,449700
26,317100
27,374900
28,420000
29,469900
30,465600
31,394900
32,458200
33,394600
34,566500
35,706100
36,462300
37,399800
38,330100
39,379000
40,401900
41,378400
42,445300
43,538100
44,416700
45,396100
46,429900
47,423200
48,636200
49,653500
50,445400
51,317900
52,920200
53,358400
54,340800
55,373800
56,449800
57,438400
58,359400
59,524400
60,437900
61,370500
62,408300
63,447900
64,409200
65,454400
66,417600
67,443300
68,444800
69,971900
70,1600800
71,460400
72,461600
73,423900
74,1669200
75,371100
76,352500
77,333900
78,325300
79,385500
80,401100
81,351600
82,432300
83,760400
84,342100
85,323700
86,277000
87,271600
88,279100
89,302100
90,347500
91,310000
92,341100
93,289700
94,296400
95,290500
96,322500
97,275100
98,317600
99,311600
100,269400
101,355500
102,647700
103,376800
104,420500
105,530000
106,410400
107,320000
108,331400
109,341600
110,443600
111,294800
112,380400
113,376700
114,520400
115,410400
116,498000
117,347900
118,880600
119,344400
120,345100
121,389900
122,437400
123,363500
124,682400
125,425300
126,302200
127,390900
128,646600
129,653000
130,546100
131,375000
132,367900
133,322800
134,420100
135,384300
136,319400
137,388600
138,316300
139,347400
140,399900
141,364100
142,376100
143,806600
144,684700
145,498800
146,594300
147,521600
148,436100
149,546700
150,491000
151,506200
152,367900
153,477200
154,405200
155,470900
156,452700
157,527900
158,467700
159,762500
160,430800
161,382200
162,341600
163,457700
164,451900
165,425600
166,448000
167,446700
168,492700
169,455700
170,379200
171,382100
172,418300
173,406900
174,409900
175,412400
176,436100
177,604900
178,425200
179,374700
180,362800
181,354800
182,470300
183,494400
184,334800
185,574400
186,380400
187,448400
188,307200
189,378500
190,347500
191,379600
192,286100
193,278500
194,298300
195,283300
196,259600
197,301600
198,497000
199,377100
200,473900
201,331800
202,417000
203,269700
204,261800
205,361800
206,263300
207,294700
208,305700
209,308900
210,270000
211,284400
212,266900
213,282900
214,260500
215,262200
216,257300
217,252800
218,314400
219,355500
220,461000
221,300200
222,380200
223,402900
224,343800
225,270500
226,262900
227,286000
228,299800
229,270100
230,287400
231,268400
232,263300
233,301500
234,263600
235,271000
236,268900
237,302700
238,369800
239,386200
240,278800
241,459400
242,265900
243,348300
244,307100
245,356200
246,328100
247,273200
248,513200
249,267400
250,281700
251,252100
252,262000
253,259000
254,288400
255,358500
256,436100
257,652200
258,449500
259,296500
260,296500
261,280800
262,307800
263,270100
264,269900
265,289200
266,287300
267,284200
268,269700
269,293800
270,267500
271,268500
272,367600
273,497600
274,397200
275,471000
276,398100
277,529500
278,356600
279,362600
280,351900
281,355400
282,359300
283,374400
284,344700
285,357200
286,345300
287,397300
288,366800
289,276000
290,731600
291,763200
292,819900
293,397600
294,340900
295,336800
296,317100
297,293600
298,304000
299,303500
300,295000
301,295600
302,318600
303,291200
304,346000
305,419000
306,315000
307,506400
308,429000
309,877300
310,351000
311,459500
312,364900
313,275900
314,307900
315,280100
316,294200
317,296600
318,323200
319,320400
320,371200
321,471600
322,350000
323,340600
324,430700
325,356700
326,283500
327,285600
328,263400
329,270700
330,275600
331,264100
332,268800
333,298900
334,301400
335,278600
336,272300
337,323700
338,266100
339,290800
340,319000
341,318500
342,553700
343,731000
344,502000
345,279500
346,274500
347,308100
348,273200
349,271000
350,293700
351,265000
352,264200
353,317800
354,279700
355,268800
356,269600
357,299900
358,344500
359,358300
360,485000
361,359700
362,307400
363,347400
364,268200
365,603400
366,328600
367,278000
368,274800
369,302200
370,275100
371,271700
372,274400
373,270300
374,276400
375,269800
376,291200
377,335500
378,408700
379,603600
380,418200
381,355800
382,346100
383,350400
384,388000
385,342200
386,355300
387,345900
388,356700
389,307600
390,279600
391,265000
392,298300
393,299500
394,355700
395,337600
396,329300
397,805000
398,269700
399,266000
400,260600
401,265500
402,264500
403,268400
404,260900
405,262600
406,264700
407,258600
408,263800
409,276100
410,310700
411,262500
412,270100
413,277400
414,363700
415,399800
416,351400
417,400300
418,277400
419,274300
420,265400
421,268500
422,261200
423,257100
424,261600
425,266900
426,260500
427,257700
428,259700
429,312600
430,266100
431,261100
432,260200
433,263000
434,322500
435,285600
436,549300
437,589700
438,372500
439,274600
440,283800
441,273600
442,266900
443,264600
444,262700
445,274100
446,261900
447,258500
448,279700
449,326100
450,283200
451,290300
452,316100
453,376600
454,327200
455,625600
456,306000
457,371200
458,267300
459,274500
460,286900
461,325200
462,265800
463,269300
464,263500
465,268700
466,260200
467,261100
468,265700
469,263900
470,258600
471,264200
472,258800
473,353900
474,336600
475,324300
476,677200
477,365800
478,356700
479,377800
480,325900
481,340000
482,365000
483,347400
484,281400
485,273900
486,351900
487,287300
488,281300
489,304300
490,460300
491,459900
492,420700
493,395500
494,329600
495,278600
496,275000
497,361900
498,328200
499,316800
500,341300
501,286200
502,273800
503,304000
504,298200
505,276000
506,266000
507,276800
508,289400
509,322800
510,613700
511,779900
512,361600
513,358900
514,321700
515,280300
516,276500
517,284900
518,268100
519,266200
520,268500
521,274700
522,265800
523,267000
524,271200
525,282400
526,294600
527,299900
528,520900
529,497200
530,327300
531,475700
532,280800
533,371400
534,446300
535,308800
536,535000
537,286400
538,307200
539,295800
540,280000
541,305600
542,286700
543,279600
544,392300
545,543500
546,402400
547,463600
548,348800
549,312400
550,290200
551,280400
552,275900
553,279300
554,272700
555,273000
556,374000
557,429500
558,364900
559,359800
560,291700
561,372500
562,517400
563,316800
564,573300
565,275800
566,271200
567,294200
568,272000
569,267700
570,282100
571,268800
572,265700
573,262700
574,335000
575,279000
576,263700
577,262800
578,265100
579,260300
580,259800
581,360600
582,507900
583,327100
584,270300
585,304400
586,263200
587,272600
588,289500
589,273000
590,284800
591,364800
592,294100
593,276700
594,271600
595,287100
596,290400
597,268200
598,265500
599,258700
600,284700
601,308800
602,324600
603,479000
604,520100
605,326000
606,266100
607,272700
608,312900
609,276300
610,270000
611,267600
612,266600
613,263200
614,276700
615,270000
616,274700
617,269200
618,271300
619,265500
620,279900
621,340700
622,641400
623,495800
624,313300
625,287500
626,319600
627,283200
628,280100
629,307900
630,297900
631,276000
632,272300
633,276500
634,330800
635,280300
636,274500
637,282200
638,316100
639,274100
640,400200
641,462300
642,322600
643,418500
644,330200
645,317000
646,281900
647,313000
648,348300
649,278800
650,273400
651,286100
652,274400
653,269300
654,268400
655,275100
656,272600
657,271100
658,269600
659,374800
660,450900
661,477500
662,382200
663,322500
664,279900
665,279700
666,275300
667,278100
668,272200
669,276200
670,290000
671,275100
672,268800
673,275300
674,269200
675,273000
676,280600
677,271700
678,524200
679,316900
680,474000
681,823800
682,991200
683,378600
684,294600
685,277300
686,281200
687,286900
688,276000
689,277700
690,276400
691,272500
692,282400
693,333900
694,338100
695,287600
696,547500
697,530400
698,308000
699,274400
700,271200
701,273200
702,277500
703,272400
704,268800
705,269300
706,316100
707,277800
708,263800
709,267800
710,264100
711,267300
712,268300
713,291500
714,331700
715,351600
716,392800
717,412300
718,527200
719,278900
720,264700
721,280100
722,263600
723,263900
724,261400
725,337000
726,266700
727,277800
728,308800
729,281100
730,290400
731,265800
732,271900
733,386000
734,416900
735,413700
736,560900
737,349000
738,355600
739,342800
740,339000
741,332800
742,387800
743,364200
744,297400
745,275600
746,285400
747,259300
748,254800
749,369200
750,349100
751,335400
752,556600
753,431000
754,277700
755,396900
756,269000
757,349500
758,290300
759,272200
760,284100
761,280200
762,266700
763,269700
764,281500
765,273700
766,265000
767,279600
768,302900
769,346600
770,377500
771,798100
772,484300
773,435900
774,458700
775,435700
776,468500
777,527800
778,483200
779,424000
780,362100
781,445100
782,492600
783,624700
784,606100
785,372600
786,407500
787,370600
788,388500
789,358500
790,475000
791,391000
792,370400
793,412800
794,412200
795,437400
796,484500
797,697600
798,487400
799,387200
800,849100
801,342300
802,319500
803,327200
804,292500
805,287900
806,417900
807,389300
808,441800
809,516200
810,412000
811,702100
812,502000
813,579900
814,395100
815,347300
816,352100
817,381000
818,349700
819,364200
820,295700
821,277200
822,273100
823,380500
824,364300
825,323700
826,417300
827,377200
828,559900
829,412300
830,361000
831,287100
832,290300
833,264500
834,300700
835,312400
836,265200
837,266400
838,258600
839,257400
840,256800
841,290500
842,257700
843,270300
844,327800
845,303700
846,643000
847,362300
848,270200
849,261400
850,263800
851,259000
852,285600
853,265200
854,290600
855,262700
856,292100
857,277000
858,303600
859,275900
860,283300
861,287000
862,320000
863,261800
864,432500
865,490100
866,547400
867,324400
868,330700
869,307800
870,306100
871,293000
872,287600
873,275000
874,277500
875,264900
876,306000
877,348800
878,347300
879,323900
880,323600
881,364500
882,516400
883,355900
884,376600
885,457400
886,287400
887,287900
888,271600
889,318600
890,278000
891,288200
892,280700
893,285600
894,287100
895,291000
896,346200
897,372000
898,327200
899,323900
900,371900
901,497400
902,402600
903,553000
904,397000
905,299800
906,284400
907,279200
908,275200
909,406600
910,274800
911,277400
912,270100
913,269000
914,264400
915,275200
916,264700
917,267100
918,344400
919,350800
920,447900
921,369300
922,435600
923,490100
924,387600
925,325100
926,339200
927,369400
928,390300
929,355700
930,352300
931,394800
932,411600
933,399700
934,509300
935,720300
936,504000
937,467300
938,303000
939,313300
940,312100
941,303900
942,288900
943,302400
944,303900
945,337200
946,303800
947,339900
948,284800
949,284800
950,324300
951,333200
952,494500
953,558400
954,574200
955,872400
956,724000
957,372300
958,351200
959,340700
960,360400
961,338600
962,338800
963,562500
964,461600
965,425000
966,389700
967,371300
968,408900
969,286500
970,275700
971,270800
972,333700
973,351400
974,345800
975,380800
976,321600
977,311200
978,338100
979,279900
980,345900
981,387600
982,461500
983,659800
984,322100
985,471000
986,315100
987,323900
988,288600
989,291700
990,282100
991,274900
992,272300
993,274100
994,301600
995,576600
996,315700
997,385600
998,336000
999,394500
1000,289400
