# straf3 pacing log v2
# present_mode=fifo  build=release
# present_mode_requested=fifo
# warmup_ns=24150600  frames=10125
# cmdline="straf3.exe --exit-after 62000 --pacing-log probes/pacing/results/static/straf3-fifo-2.csv --no-pb"
# host_wddm_driver=32.0.15.6094
# host_workload=static-coil-noghost
# frame_latency=2
# available=[fifo,fifo_relaxed,mailbox,immediate]
# adapter="NVIDIA GeForce RTX 3060 Ti"
# adapter_type=DiscreteGpu
# backend=Vulkan
# gpu_driver=NVIDIA
# gpu_driver_info=560.94
# refresh_mhz=165000
# window_px=1280x720
# monitor_px=1920x1080
# map=Map
# profile=cpm
# command_hz=125
# driven_by=live-input
# warmup_ns is the first-to-second rendered frame: swapchain warm-up, not a frame time, and NOT a data row below
frame,delta_ns
1,1727200
2,246100
3,1621200
4,348100
5,1071100
6,10514800
7,6393800
8,5888700
9,5989200
10,6019300
11,6053300
12,5965300
13,6187100
14,5995800
15,24208100
16,6195700
17,5662300
18,6739500
19,5658500
20,6044100
21,20434300
22,2509300
23,361300
24,5690100
25,6082800
26,6141400
27,5935100
28,6140100
29,5995100
30,6133800
31,6032900
32,6028900
33,6076800
34,6163900
35,6022900
36,5964300
37,6126900
38,6072800
39,6040600
40,6072500
41,6172900
42,5944900
43,6043500
44,6059700
45,6093500
46,6138800
47,6250100
48,5851800
49,6117700
50,5960000
51,6099100
52,6035300
53,6035500
54,6192000
55,6040700
56,5980900
57,6113900
58,6053800
59,6045300
60,6033600
61,6084200
62,6120600
63,6163000
64,5988100
65,6050100
66,6056500
67,6076100
68,6091400
69,6186900
70,6154200
71,5875300
72,6194000
73,5989500
74,6125600
75,5949000
76,5981900
77,6057000
78,6067500
79,6193200
80,6140500
81,6128700
82,5955400
83,6050900
84,5946200
85,6105500
86,6036500
87,6113100
88,6022800
89,6077700
90,6075400
91,6084900
92,6050000
93,6040800
94,6071300
95,6045000
96,6070300
97,6042800
98,6078000
99,6080800
100,6059200
101,6142900
102,5925000
103,6110000
104,6513800
105,5882000
106,5907900
107,6035400
108,6116800
109,6140700
110,5893500
111,6151000
112,5956600
113,6194900
114,6086500
115,6153300
116,5972500
117,5941000
118,6053000
119,6216200
120,5896000
121,6085800
122,6040400
123,6082900
124,6103200
125,6036600
126,6179900
127,5925900
128,6097700
129,6062500
130,6085400
131,6034000
132,6119600
133,6022600
134,6019200
135,6094900
136,6086800
137,6076900
138,6080600
139,5926200
140,6149400
141,6030800
142,6109200
143,6039400
144,6100200
145,6040800
146,6076500
147,6044200
148,6067200
149,6068100
150,6071200
151,6019100
152,6130700
153,6080100
154,6037200
155,6221400
156,5890200
157,6100500
158,6243900
159,5929000
160,6395600
161,5997400
162,5701100
163,6145200
164,6056400
165,6110700
166,5928600
167,6258100
168,5920100
169,6086000
170,6084400
171,6121400
172,5960000
173,6067600
174,6119500
175,6113500
176,5906700
177,6172300
178,6081500
179,6038600
180,6030300
181,6107100
182,6110400
183,6035000
184,6062000
185,6101000
186,6132200
187,5962500
188,6053100
189,5960700
190,6194200
191,6066000
192,6065700
193,5998000
194,6219300
195,5952800
196,6054700
197,6041900
198,6076800
199,6062600
200,6079600
201,6021300
202,6103100
203,6095900
204,6048300
205,6044500
206,6157400
207,5973600
208,6062200
209,6040500
210,6162600
211,6019300
212,6064300
213,6043700
214,6007800
215,6136600
216,6043600
217,6070700
218,6037400
219,6121800
220,6057300
221,6042300
222,6036300
223,6101600
224,6082300
225,6042200
226,6058600
227,6261500
228,5875400
229,6117200
230,6000100
231,6181000
232,5952000
233,6151100
234,5971400
235,6138400
236,6044900
237,6053100
238,6041900
239,6119100
240,5999400
241,6112600
242,6033900
243,6097800
244,6047900
245,6084000
246,6063500
247,6080500
248,6068800
249,6151400
250,5974200
251,5995800
252,6120900
253,6073700
254,6022400
255,6062300
256,6034400
257,6132300
258,6040400
259,6072600
260,6060300
261,6090900
262,6069700
263,6007800
264,6115300
265,6045500
266,6095400
267,6047700
268,6046000
269,6073400
270,6079200
271,6122900
272,6055400
273,6065100
274,6044700
275,6048500
276,6007700
277,6202100
278,5950200
279,6060900
280,6088300
281,6100200
282,6019300
283,6101300
284,6019200
285,6104200
286,6094100
287,6018400
288,6018000
289,6124600
290,6041200
291,6093700
292,6000500
293,6078000
294,6188600
295,5988400
296,6050000
297,6060700
298,6062700
299,6098400
300,6088300
301,6053500
302,6018300
303,6119900
304,6057800
305,5957500
306,6156700
307,6074300
308,6061500
309,6011300
310,6114500
311,6060200
312,6083400
313,6053700
314,6162100
315,6010800
316,6144000
317,5881700
318,6119100
319,6083300
320,6081300
321,6034600
322,6087800
323,6079700
324,5997200
325,6135200
326,6098000
327,5995400
328,6085600
329,6059200
330,6060500
331,6020400
332,6183600
333,6084300
334,6014200
335,6154200
336,6103000
337,6093100
338,5888500
339,6059700
340,6145600
341,6091200
342,5994100
343,6089800
344,6091900
345,6080000
346,6030300
347,6105500
348,6134600
349,6015700
350,6002200
351,6075900
352,6077200
353,6049000
354,6232400
355,6014100
356,6027600
357,6008900
358,6010700
359,6092800
360,6191300
361,5980200
362,6885900
363,5271500
364,6014100
365,6068600
366,6065500
367,6044500
368,6075200
369,6107200
370,6064900
371,6006500
372,6097700
373,6066500
374,6037300
375,6066200
376,6085900
377,6048700
378,6101100
379,6004400
380,6074100
381,6109600
382,6051300
383,6003200
384,6126200
385,6070600
386,6047400
387,6053200
388,6148900
389,6021500
390,6132900
391,5997300
392,6067400
393,6057900
394,6072300
395,6063700
396,6086900
397,6035300
398,6078200
399,6053900
400,6053100
401,6157400
402,6037200
403,6033600
404,6069700
405,6139900
406,6031800
407,6013500
408,6064300
409,6072200
410,6067500
411,6058600
412,6051100
413,6083900
414,6020200
415,6092000
416,6054700
417,6160500
418,6020900
419,6120500
420,5957600
421,6112000
422,6036900
423,6096900
424,5996500
425,6096200
426,6079800
427,6098300
428,6058300
429,6031300
430,6092500
431,6089600
432,6036400
433,6040500
434,6069000
435,6116500
436,6043200
437,6041300
438,6092900
439,6062900
440,6070200
441,6022800
442,6068900
443,6084100
444,6083000
445,6011500
446,6075600
447,6107100
448,6062900
449,6291200
450,5900600
451,6155000
452,5939600
453,6011400
454,6056300
455,6162700
456,6001500
457,6040000
458,6073000
459,6064400
460,6071600
461,6066000
462,6066200
463,6094900
464,6099400
465,6063000
466,5991200
467,6159000
468,6049000
469,5983600
470,6089600
471,6168600
472,5989600
473,6154000
474,5926900
475,6082200
476,6100900
477,6089700
478,5967100
479,6473800
480,5829400
481,5968600
482,6064100
483,6064700
484,6152600
485,6021800
486,5946900
487,6106500
488,6120700
489,6010200
490,6116900
491,5994100
492,6092000
493,6112700
494,6082300
495,6011300
496,6113600
497,6114600
498,6128900
499,6112500
500,6046700
501,6051900
502,6075500
503,6128600
504,5984400
505,6082100
506,6769700
507,5252900
508,6202600
509,6198200
510,6008800
511,5928600
512,6284000
513,5955900
514,5952600
515,6252300
516,6395700
517,5721400
518,6040100
519,6146800
520,5916300
521,6072600
522,6132200
523,6024300
524,6006200
525,6269800
526,6097000
527,5904300
528,6007300
529,7960500
530,5077800
531,5098700
532,6127000
533,6093500
534,6040300
535,6068300
536,6071500
537,6061900
538,6119600
539,6792700
540,5275000
541,6093900
542,6128200
543,5958800
544,6127700
545,5949200
546,6120500
547,6089600
548,6029300
549,6145200
550,5969100
551,6106600
552,6039100
553,6173000
554,6019100
555,5994500
556,6172900
557,6002300
558,6048800
559,6072400
560,5871400
561,6199700
562,6093800
563,6303100
564,5775800
565,6155700
566,6104000
567,6026100
568,6047800
569,6055600
570,6067900
571,6049400
572,6308600
573,5815300
574,5968900
575,6162300
576,6093700
577,6036500
578,6032000
579,6564500
580,5646300
581,6061900
582,6051000
583,6062700
584,6054800
585,6090900
586,6041800
587,6098100
588,6067600
589,6058800
590,6021500
591,6090200
592,6069600
593,6042700
594,6052400
595,5999000
596,6328000
597,5844700
598,6094800
599,6083500
600,6081700
601,6090800
602,6040300
603,6125900
604,5938200
605,6256700
606,5940300
607,6081600
608,6098200
609,6010500
610,6073100
611,6038700
612,6079700
613,6083700
614,6030000
615,6077100
616,6065200
617,6054500
618,6088500
619,6038700
620,6021100
621,6076400
622,6077100
623,6029900
624,6186100
625,6078000
626,6076400
627,6017900
628,6120600
629,6078600
630,6043500
631,5978900
632,6175100
633,5983400
634,6041800
635,6037300
636,6081700
637,6089300
638,6077600
639,6613400
640,5445600
641,6167900
642,6006900
643,6094000
644,6031100
645,6111900
646,6010500
647,6125200
648,6030400
649,6086200
650,6064900
651,6100300
652,6021300
653,6083100
654,6024500
655,6169600
656,5999900
657,6053400
658,6008300
659,6110800
660,6062400
661,6113200
662,5920000
663,6250500
664,5960000
665,6099200
666,6071800
667,6043400
668,6085100
669,6062100
670,6058100
671,6192300
672,5983700
673,6014100
674,6034500
675,6063700
676,6056300
677,6033300
678,6144100
679,6080900
680,6074200
681,6079900
682,6083200
683,6066700
684,6004500
685,6039800
686,6180300
687,6098400
688,6080300
689,6064100
690,6023200
691,6023300
692,6178600
693,6002900
694,6027100
695,6131600
696,6096200
697,6153600
698,5912000
699,6047200
700,6040500
701,6138100
702,5915700
703,6126800
704,6079800
705,6023400
706,6056900
707,6138000
708,5985300
709,6035800
710,6115000
711,6264800
712,5960200
713,5955800
714,6112100
715,6096300
716,6049900
717,6073100
718,6027400
719,6061000
720,6069200
721,6145200
722,5967400
723,6071100
724,6075200
725,6047000
726,6023200
727,6101300
728,6056800
729,6031800
730,6098900
731,6037700
732,6074200
733,6112200
734,6075800
735,6036800
736,6035000
737,6158600
738,6055000
739,5990000
740,6956200
741,5206400
742,6059900
743,6102800
744,6288700
745,5803200
746,6206100
747,6173800
748,6077100
749,5866400
750,6253400
751,5851900
752,6126200
753,6185200
754,5965900
755,6013900
756,6114000
757,6112000
758,5967800
759,6204700
760,6879500
761,5148900
762,6178800
763,5972400
764,6018700
765,6214200
766,5973500
767,6096700
768,6026200
769,6086400
770,6027500
771,6178800
772,5903300
773,6312200
774,5902500
775,6030400
776,6004700
777,6067800
778,6119900
779,6036100
780,6187200
781,6006100
782,6061700
783,6070400
784,5969200
785,6030600
786,6106500
787,6147900
788,6051600
789,6032400
790,6064700
791,6058000
792,6065400
793,6100500
794,6052400
795,6050500
796,6066100
797,6083200
798,6035900
799,6025500
800,6011400
801,6093900
802,6064900
803,6055700
804,6126400
805,5957400
806,6123900
807,6114300
808,6114000
809,5988900
810,6066100
811,6031300
812,6123900
813,6011900
814,6096300
815,6048200
816,6110800
817,5981000
818,6126700
819,6033500
820,6104400
821,6057500
822,6047200
823,6101400
824,5986000
825,6145400
826,6097400
827,6007100
828,6104800
829,6097900
830,6000900
831,6115700
832,6048800
833,6050800
834,6023500
835,6115100
836,6025900
837,6134800
838,5981100
839,6196400
840,5915300
841,6051700
842,5917200
843,6228500
844,6121100
845,6028900
846,6022400
847,6121600
848,6080400
849,6093400
850,6024100
851,5995300
852,6181300
853,6038200
854,6070700
855,6084400
856,6065200
857,6011900
858,6090600
859,6059000
860,6210300
861,5953300
862,6783000
863,5345500
864,6230300
865,5958600
866,6048100
867,6031200
868,6035300
869,6148500
870,5986500
871,6036800
872,6166500
873,6037600
874,6019500
875,6049700
876,6048400
877,6042000
878,6053100
879,6071300
880,6132700
881,6037800
882,6135800
883,6057300
884,6027300
885,6093100
886,6088700
887,6125200
888,6140600
889,6511100
890,5627000
891,5936300
892,6311700
893,6336100
894,5663600
895,6303900
896,5758300
897,6158800
898,6101300
899,5953800
900,5956200
901,6015100
902,6109000
903,6156100
904,5944800
905,6148900
906,6026800
907,6050300
908,6053400
909,6098800
910,6035400
911,6045500
912,6115000
913,5991000
914,6059100
915,6119900
916,6003900
917,6085300
918,6076300
919,6119000
920,6040000
921,6029400
922,6152000
923,6030500
924,6090000
925,6070100
926,6238300
927,5913100
928,6490100
929,5605700
930,6074000
931,6438100
932,5686700
933,6055000
934,6176900
935,6011300
936,6001200
937,6046200
938,6118400
939,6040400
940,6075700
941,6016200
942,6081400
943,6073500
944,6030800
945,6088000
946,6068800
947,6091400
948,6096700
949,6031000
950,5972500
951,6169500
952,6033400
953,6029700
954,6028900
955,6165200
956,6017800
957,6080500
958,6055600
959,6059000
960,6060800
961,6114000
962,6108100
963,5990400
964,6059900
965,6111400
966,6023400
967,6035200
968,6291100
969,5994500
970,5955400
971,6090800
972,6065700
973,6038700
974,6108700
975,6001500
976,6085000
977,6093400
978,6054700
979,6006900
980,6081900
981,6101100
982,6100400
983,5998400
984,6493300
985,5748600
986,5967700
987,6052500
988,6065800
989,6047200
990,6065600
991,6095400
992,6360600
993,6006400
994,6771200
995,5367500
996,6084800
997,6296600
998,5783300
999,6122300
1000,6073800
1001,6037000
1002,6039300
1003,6305400
1004,5884700
1005,6001700
1006,6107400
1007,8510200
1008,3889400
1009,5716800
1010,6131100
1011,6109400
1012,6006400
1013,6052900
1014,6090400
1015,6107300
1016,5977200
1017,7271600
1018,4839300
1019,6112300
1020,6074100
1021,6109900
1022,5930200
1023,6213400
1024,5981900
1025,5984800
1026,5996900
1027,6091500
1028,5954200
1029,6103100
1030,6090700
1031,6063200
1032,6032500
1033,6048100
1034,6095300
1035,6042500
1036,6113000
1037,6117900
1038,6035400
1039,6062000
1040,6070900
1041,6417200
1042,5685200
1043,6007100
1044,6082000
1045,6166900
1046,6029200
1047,6074000
1048,6064100
1049,6020800
1050,6154300
1051,6460300
1052,5611600
1053,6249100
1054,6083500
1055,5903500
1056,6170400
1057,6126500
1058,6030500
1059,5962400
1060,6075600
1061,5966000
1062,6048900
1063,6086900
1064,6075600
1065,6063200
1066,6476800
1067,5659000
1068,6145600
1069,5988500
1070,5977900
1071,6172700
1072,6040200
1073,6639700
1074,5442100
1075,6112500
1076,6140400
1077,5964300
1078,6040500
1079,6082100
1080,6103000
1081,5945100
1082,6248200
1083,5996500
1084,5987300
1085,6251700
1086,5956500
1087,6177100
1088,6030200
1089,6190400
1090,6066500
1091,5933200
1092,5990600
1093,6081000
1094,6093100
1095,6052300
1096,6081300
1097,6012300
1098,6141500
1099,5912500
1100,6230800
1101,5941600
1102,6063600
1103,6068700
1104,6058200
1105,6122400
1106,6700300
1107,5362500
1108,6173500
1109,6015300
1110,6066500
1111,6019500
1112,6034900
1113,6171300
1114,6190100
1115,5996800
1116,6709800
1117,5347600
1118,6096300
1119,6013700
1120,6050100
1121,6066500
1122,6048100
1123,6115400
1124,6090700
1125,6041100
1126,6072600
1127,6083600
1128,5983300
1129,6096500
1130,6119800
1131,6020300
1132,6049200
1133,6055000
1134,6063600
1135,6085500
1136,6081100
1137,6017700
1138,6746400
1139,5829000
1140,5674400
1141,6010800
1142,6223900
1143,5979600
1144,6029800
1145,6078700
1146,6119200
1147,6007800
1148,6078700
1149,6055800
1150,6045800
1151,6041600
1152,6028000
1153,6101500
1154,6106800
1155,5896600
1156,6156400
1157,6107200
1158,6091700
1159,6039600
1160,6122900
1161,6021000
1162,6078700
1163,6073100
1164,6067800
1165,6033200
1166,6084100
1167,6064500
1168,6059700
1169,6013900
1170,6114700
1171,6043700
1172,6820100
1173,5307600
1174,6122200
1175,6039800
1176,6080700
1177,6029300
1178,6090400
1179,6089100
1180,6133700
1181,5955300
1182,6086000
1183,6162900
1184,5981200
1185,6113900
1186,6014200
1187,6049900
1188,6058800
1189,6105700
1190,6025700
1191,6066600
1192,6084000
1193,6041900
1194,6106700
1195,6097000
1196,5981200
1197,6037900
1198,6084700
1199,6112200
1200,6039300
1201,6100800
