# straf3 pacing log v2
# present_mode=immediate  build=release
# present_mode_requested=immediate
# warmup_ns=36912500  frames=183788
# cmdline="straf3.exe --exit-after 62000 --pacing-log probes/pacing/results/static/straf3-immediate-2.csv --no-pb"
# host_wddm_driver=32.0.15.6094
# host_workload=static-coil-noghost
# host_window_state=not-checked
# frame_latency=2
# available=[fifo,fifo_relaxed,mailbox,immediate]
# adapter="NVIDIA GeForce RTX 3060 Ti"
# adapter_type=DiscreteGpu
# backend=Vulkan
# gpu_driver=NVIDIA
# gpu_driver_info=560.94
# refresh_mhz=165000
# window_px=1280x720
# monitor_px=1920x1080
# map=Map
# profile=cpm
# command_hz=125
# driven_by=live-input
# warmup_ns is the first-to-second rendered frame: swapchain warm-up, not a frame time, and NOT a data row below
frame,delta_ns
1,3238100
2,625300
3,366700
4,344000
5,506300
6,461300
7,305400
8,434300
9,566300
10,388100
11,325100
12,308700
13,367900
14,380200
15,369600
16,532900
17,444500
18,432900
19,557300
20,408200
21,615300
22,398800
23,312500
24,282900
25,313100
26,303700
27,332500
28,319900
29,368200
30,454700
31,423700
32,1306700
33,277300
34,466000
35,375200
36,445200
37,343500
38,286200
39,559500
40,451900
41,432100
42,282100
43,410600
44,337000
45,323300
46,265500
47,305300
48,366400
49,322500
50,326400
51,288900
52,277300
53,316500
54,297300
55,269200
56,334700
57,301700
58,301700
59,271800
60,318100
61,275300
62,311200
63,324500
64,1561600
65,365800
66,349200
67,430400
68,488700
69,384100
70,457900
71,489900
72,374900
73,291900
74,321400
75,342300
76,282000
77,313400
78,330200
79,334800
80,377400
81,460900
82,623000
83,482400
84,369800
85,414300
86,436600
87,433000
88,465300
89,486200
90,399600
91,516500
92,603500
93,334300
94,446600
95,291300
96,329900
97,299500
98,271700
99,473300
100,270600
101,492400
102,306000
103,285200
104,452900
105,452300
106,384400
107,478100
108,375400
109,313300
110,294500
111,280900
112,307400
113,280800
114,300300
115,368200
116,283600
117,282100
118,271300
119,296200
120,269000
121,303200
122,268600
123,299900
124,453500
125,510400
126,354000
127,386800
128,365800
129,427800
130,356000
131,354700
132,443700
133,337500
134,363200
135,310600
136,328300
137,315000
138,353400
139,405300
140,308700
141,390900
142,321000
143,274200
144,288400
145,290900
146,273000
147,463500
148,274600
149,269600
150,342800
151,340200
152,341000
153,463400
154,271500
155,271300
156,362600
157,298200
158,271400
159,384600
160,277200
161,290700
162,282300
163,311900
164,435500
165,309100
166,269300
167,287900
168,299700
169,370300
170,388100
171,317500
172,603800
173,444900
174,404800
175,278500
176,489500
